INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201703,212024,FLAVOURED WATER BOTT 900ML-1.5,1,1,105.731,105.169,105.731,0.27,0.48,0.21
201703,510250,WOMEN'S COAT - SEE HELP SCREEN,2,1,107.536,100.483,100.483,1.1,0.75,0.88
201703,630152,MP4 PLAYER,2,2,96.303,96.12,96.12,0.28,0.12,0.21
201703,520326,PRIVATE DENTAL EXAMINATION,2,1,100.321,100.309,100.309,1.5,1.54,1
201703,211510,PARMESAN CHEESE-PER KG,1,1,100.562,100.888,100.562,0.12,0.15,0.09
201703,510528,CHILD'S TRAINERS-SPORTS,2,1,109.504,106.089,106.089,0.77,0.72,0.63
201703,610240,BRAKE FITTING FAST FIT CENTRE,2,1,101.13,101.064,101.064,2,0.96,1.6
201703,212934,DRIED POTTED SNACK 50-120G,1,1,103.931,105.655,103.931,0.6,1.21,0.48
201703,212710,AVOCADO PEAR-EACH,1,1,104.638,105.175,104.638,0.27,0.28,0.21
201703,640219,SWIMMING POOL ADM STND ADULT,1,2,100.496,100.386,100.496,0.5,0.48,0.4
201703,211305,SPREADABLE BUTTER,1,1,95.45,94.827,95.45,0.42,0.59,0.42
201703,212218,CARTON/BOX OF CHOCS 150-400GM,1,1,78.308,80.234,78.308,1.43,1.32,1.1
201703,520228,PLASTERS-20-40 PACK,1,1,98.2,98.519,98.2,0.65,0.6,0.52
201703,520106,"9CT GOLD CHAIN 18-20""/46-51CM",2,1,102.342,101.92,101.92,1.26,0.36,0.98
201703,410602,READY-MIXED FILLER-INT USE,1,1,101.696,101.462,101.696,0.05,0.18,0.05
201703,440237,UNIT TRUSTS COMM-ONGOING CHG,1,0,100.196,100.196,100.196,1.12,0,0.88
201703,520138,SPECTACLE FRAMES WITH LENSE,2,1,100.392,100.291,100.291,2,1.35,1.6
201703,410639,PAINT GLOSS/EMUL 750ML-2.5LTR,2,1,99.194,98.99,98.99,0.18,0.54,0.18
201703,212608,CANNED SWEETCORN 198-340G,1,1,102.118,102.632,102.118,0.39,0.46,0.3
201703,520135,DIAMOND SOLITAIRE RING,2,1,104.589,102.56,102.56,2.52,0.72,1.96
201703,430108,DOUBLE BED-WIDTH APPROX 135CM,2,1,106.901,105.781,105.781,1.44,2.08,1.2
201703,211106,FROZEN PRAWNS PER KG,1,1,98.884,99.494,98.884,0.72,0.54,0.54
201703,520118,FLOWER VASE,2,2,102.233,100.794,100.794,1.02,0.63,0.68
201703,620304,PUSHCHAIR/STROLLER,2,1,107.233,106.291,106.291,0.55,0.34,0.44
201703,630520,"MOWER ELECTRIC, SPECIFY TYPE",2,1,99.612,98.791,98.791,0.45,0.78,0.36
201703,510122,MEN'S TRACKSUIT/JOGGIN BOTTOMS,2,1,106.901,104.912,104.912,0.55,0.4,0.44
201703,211814,YOGHURT-SMALL INDIVIDUAL,1,1,102.606,103.178,102.606,0.48,0.64,0.36
201703,440226,HOME-BUYERS SURVEY-RSDNTL PPTY,2,2,100.577,100.537,100.537,0,0.22,0
201703,610417,CAR INSURANCE,2,0,106.653,105.377,105.377,3.72,18,2.79
201703,430414,GAS COOKERS-SPECIFY MAKE & MOD,2,2,99.281,98.93,98.93,0.21,0.24,0.18
201703,440232,NURSERY FEES: CHILD 0-4,2,2,100.345,100.312,100.312,1.76,0.88,1.43
201703,212726,PLUMS PER KG/PACK,1,1,99.771,100.551,99.771,0.27,0.28,0.21
201703,430525,CLEAR STICKY TAPE,1,1,100.231,100.165,100.231,0.2,0.44,0.16
201703,520235,SUNSCREEN - SPEC SIZE/SPF,2,1,91.141,90.332,90.332,0.96,0.6,0.76
201703,440227,FUNERAL-CREMATION,2,2,100.828,100.786,100.786,2.52,0.44,2.1
201703,310405,BRANDY-68-70 CL BOTTLE,1,1,99.768,99.947,99.768,0.48,0.42,0.4
201703,620107,RAIL FARES,1,0,100,100,100,9.8,4.38,7.7
201703,410637,CERAMI TILES 15X15-25X50CM BOX,2,1,99.472,98.966,98.966,0.05,0.18,0.05
201703,610310,ULTRA LOW SULPHUR PETROL CPI,1,0,100.496,100.496,100.496,20.79,0,16.38
201703,510530,"WOMEN'S SHOES-FLAT MAX 1"" HEEL",2,1,106.421,103.685,103.685,1.43,0.72,1.17
201703,510259,WOMENS SHORT SLEEVE FORMAL TOP,2,1,128.066,115.558,115.558,1.1,0.6,0.88
201703,630231,CD ALBUM (NOT CHART),1,2,102.584,100.436,102.584,0.12,0.06,0.12
201703,630347,CHILD'S BABY DOLL,2,1,100.27,99.508,99.508,1.26,0.36,0.96
201703,212609,FROZEN GARDEN PEAS 800G-1KG,1,1,101.128,100.848,101.128,0.52,0.58,0.4
201703,640222,EXERCISE CLASS UPTO 1HR,1,2,100.887,100.784,100.887,0.5,0.48,0.4
201703,211010,PORK PIE INDIVIDL APP 3IN/8CM,1,1,99.816,99.882,99.816,0.4,0.3,0.32
201703,310422,RED WINE- NEW WORLD 75CL,1,1,100.203,99.716,100.203,1.53,1.68,1.19
201703,211408,OLIVE OIL - 500ML - 1 LITRE,1,1,101.069,101.581,101.069,0.52,0.48,0.52
201703,620203,COACH FARES,1,0,112.85,112.85,112.85,1.8,0.9,1.5
201703,510212,WOMEN'S JUMPER,2,1,113.385,103.467,103.467,1.1,0.75,0.88
201703,520332,NON NHS CHIROPRACTOR,2,1,100.235,100.211,100.211,1.5,0.42,1.5
201703,510411,CHILDS PANTS 1PR 18MTHS-13YRS,1,1,102.032,101.456,102.032,0.55,0.25,0.44
201703,440112,ELECTRICAL SERVICE CHARGE,2,0,100,100,100,0.5,0.15,0.5
201703,610236,CAR REPAIRS LOCAL GARAGE,2,1,100.648,100.598,100.598,6.75,3.2,5.4
201703,211713,MILK FLAVOURED 330-500MLS/GMS,1,1,113.641,114.913,113.641,0.24,0.18,0.18
201703,520103,LADY'S UMBRELLA -FOLDING,2,1,101.232,100.598,100.598,0.3,0.27,0.24
201703,520140,NECKLACE FASHION APX 16/20 INS,2,1,112.271,106.944,106.944,0.63,0.18,0.49
201703,220124,MUFFIN/INDIVIDUAL CAKE,1,1,100.352,100.416,100.352,2.64,2.61,2.1
201703,440401,TELEPHONE CHARGES,1,0,100,100,100,1.44,1.3,1.2
201703,310216,LAGER 12 - 24 CANS (440-500ML),1,1,105.097,104.61,105.097,1.15,0.9,0.92
201703,211507,EDAM PER KG,1,1,101.178,101.369,101.178,0.12,0.15,0.09
201703,630157,"FLAT PANEL TV 14-22""/35-55CM",2,1,106.124,105.408,105.408,0.24,0.18,0.18
201703,440233,NEWSPAPER AD NON TRADE 20 WORD,2,2,100.47,100.182,100.182,1.2,0.22,1
201703,640125,TV RENTALS,1,0,100,100,100,0.44,0.12,0.36
201703,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,98.273,97.444,98.273,0.6,0.48,0.48
201703,430519,WASHING POWDER - AUTOMATIC,1,1,101.442,101.06,101.442,0.5,0.55,0.4
201703,212527,PRE-PACKED SALAD 100-250G,1,1,100.593,100.712,100.593,0.39,0.42,0.3
201703,640234,CINEMA ADMISSION,2,0,100,100,100,3.08,1.28,2.52
201703,630317,SLEEPING BAG,2,1,102.011,100.685,100.685,0.48,0.27,0.48
201703,520322,PRIVATE HEALTH CARE 4,1,0,100,100,100,1.36,0,1.02
201703,430122,SINGLE BED-WIDTH 90CM/3FT,2,1,106.12,104.036,104.036,1.26,2.08,1.05
201703,630439,BOOK FICTION P/BACK TOP 10,2,2,99.372,99.243,99.243,0.39,0.3,0.39
201703,310110,PREMIUM LAGER - PINT 4.3-7.5%,1,1,101.149,101.186,101.149,3.52,3.42,2.8
201703,210204,DRY SPAGHETTI OR PASTA 500G,1,1,102.499,101.893,102.499,0.15,0.24,0.12
201703,520223,MASCARA,2,1,101.349,101.141,101.141,0.96,0.6,0.76
